"","prodfra_n","prodfra_n_1","c_evol_prodfra","libel"
"2861","2813114500","2813114500",0,"Prodfra perenne"
"2862","2813116510","2813116510",0,"Prodfra perenne"
"2863","2813116520","2813116520",0,"Prodfra perenne"
"2864","2813122000","2813122000",0,"Prodfra perenne"
"2865","2813125000","2813125000",0,"Prodfra perenne"
"2866","2813128000","2813128000",0,"Prodfra perenne"
"2867","2813132000","2813132000",0,"Prodfra perenne"
"2868","2813134000","2813134000",0,"Prodfra perenne"
"2869","2813138000","2813138000",0,"Prodfra perenne"
"2870","2813141300","2813141300",0,"Prodfra perenne"
"2871","2813141500","2813141500",0,"Prodfra perenne"
"2872","2813141700","2813141700",0,"Prodfra perenne"
"2873","2813142000","2813142000",0,"Prodfra perenne"
"2874","2813143000","2813143000",0,"Prodfra perenne"
"2875","2813145100","2813145100",0,"Prodfra perenne"
"2876","2813145300","2813145300",0,"Prodfra perenne"
"2877","2813145500","2813145500",0,"Prodfra perenne"
"2878","2813146000","2813146000",0,"Prodfra perenne"
"2879","2813147100","2813147100",0,"Prodfra perenne"
"2880","2813147500","2813147500",0,"Prodfra perenne"
"2881","2813148000","2813148000",0,"Prodfra perenne"
"2882","2813217000","2813217000",0,"Prodfra perenne"
"2883","2813219000","2813219000",0,"Prodfra perenne"
"2884","2813220000","2813220000",0,"Prodfra perenne"
"2885","2813230000","2813230000",0,"Prodfra perenne"
"2886","2813240000","2813240000",0,"Prodfra perenne"
"2887","2813253010","2813253010",0,"Prodfra perenne"
"2888","2813253020","2813253020",0,"Prodfra perenne"
"2889","2813255000","2813255000",0,"Prodfra perenne"
"2890","2813263000","2813263000",0,"Prodfra perenne"
"2891","2813265000","2813265000",0,"Prodfra perenne"
"2892","2813267000","2813267000",0,"Prodfra perenne"
"2893","2813269000","2813269000",0,"Prodfra perenne"
"2894","2813273000","2813273000",0,"Prodfra perenne"
"2895","2813275300","2813275300",0,"Prodfra perenne"
"2896","2813275500","2813275500",0,"Prodfra perenne"
"2897","2813280000","2813280000",0,"Prodfra perenne"
"2898","2813310000","2813310000",0,"Prodfra perenne"
"2899","2813320010","2813320010",0,"Prodfra perenne"
"2900","2813320020","2813320020",0,"Prodfra perenne"
"2901","2814112000","2814112000",0,"Prodfra perenne"
"2902","2814114010","2814114010",0,"Prodfra perenne"
"2903","2814114020","2814114020",0,"Prodfra perenne"
"2904","2814114030","2814114030",0,"Prodfra perenne"
"2905","2814116000","2814116000",0,"Prodfra perenne"
"2906","2814117000","2814117000",0,"Prodfra perenne"
"2907","2814118010","2814118010",0,"Prodfra perenne"
"2908","2814118020","2814118020",0,"Prodfra perenne"
"2909","2814123300","2814123300",0,"Prodfra perenne"
"2910","2814123500","2814123500",0,"Prodfra perenne"
"2911","2814125300","2814125300",0,"Prodfra perenne"
"2912","2814125500","2814125500",0,"Prodfra perenne"
"2913","2814131300","2814131300",0,"Prodfra perenne"
"2914","2814131500","2814131500",0,"Prodfra perenne"
"2915","2814133300","2814133300",0,"Prodfra perenne"
"2916","2814133500","2814133500",0,"Prodfra perenne"
"2917","2814133700","2814133700",0,"Prodfra perenne"
"2918","2814135300","2814135300",0,"Prodfra perenne"
"2919","2814135500","2814135500",0,"Prodfra perenne"
"2920","2814135700","2814135700",0,"Prodfra perenne"
"2921","2814137300","2814137300",0,"Prodfra perenne"
"2922","2814137500","2814137500",0,"Prodfra perenne"
"2923","2814137700","2814137700",0,"Prodfra perenne"
"2924","2814138010","2814138010",0,"Prodfra perenne"
"2925","2814138020","2814138020",0,"Prodfra perenne"
"2926","2814200000","2814200000",0,"Prodfra perenne"
"2927","2815103000","2815103000",0,"Prodfra perenne"
"2928","2815105300","2815105300",0,"Prodfra perenne"
"2929","2815105500","2815105500",0,"Prodfra perenne"
"2930","2815105700","2815105700",0,"Prodfra perenne"
"2931","2815107000","2815107000",0,"Prodfra perenne"
"2932","2815109000","2815109000",0,"Prodfra perenne"
"2933","2815215000","2815215000",0,"Prodfra perenne"
"2934","2815217000","2815217000",0,"Prodfra perenne"
"2935","2815225000","2815225000",0,"Prodfra perenne"
"2936","2815227000","2815227000",0,"Prodfra perenne"
"2937","2815235000","2815235000",0,"Prodfra perenne"
"2938","2815243200","2815243200",0,"Prodfra perenne"
"2939","2815243300","2815243300",0,"Prodfra perenne"
"2940","2815243400","2815243400",0,"Prodfra perenne"
"2941","2815244000","2815244000",0,"Prodfra perenne"
"2942","2815245000","2815245000",0,"Prodfra perenne"
"2943","2815247300","2815247300",0,"Prodfra perenne"
"2944","2815247500","2815247500",0,"Prodfra perenne"
"2945","2815250000","2815250000",0,"Prodfra perenne"
"2946","2815260000","2815260000",0,"Prodfra perenne"
"2947","2815313000","2815313000",0,"Prodfra perenne"
