"","prodfra_n","prodfra_n_1","c_evol_prodfra","libel"
"1","06100000H0","06100000H0","0","Prodfra perenne"
"2","06200000H0","06200000H0","0","Prodfra perenne"
"3","0710100000","0710100000","0","Prodfra perenne"
"4","07211000H0","07211000H0","0","Prodfra perenne"
"5","0729130000","0729130000","0","Prodfra perenne"
"6","0729140000","0729140010","3","Prodfra non perenne"
"7","0729190000","0729190000","0","Prodfra perenne"
"8","0811113300","0811113300","0","Prodfra perenne"
"9","0811113600","0811113600","0","Prodfra perenne"
"10","0811115000","0811115000","0","Prodfra perenne"
"11","0811123300","0811123300","0","Prodfra perenne"
"12","0811123600","0811123600","0","Prodfra perenne"
"13","0811125000","0811125000","0","Prodfra perenne"
"14","0811129000","0811129000","0","Prodfra perenne"
"15","0811203000","0811203000","0","Prodfra perenne"
"16","0811205000","0811205000","0","Prodfra perenne"
"17","0811301010","0811301010","0","Prodfra perenne"
"18","0811301020","0811301020","0","Prodfra perenne"
"19","0811303000","0811303000","0","Prodfra perenne"
"20","0811400000","0811400000","0","Prodfra perenne"
"21","0812115000","0812115000","0","Prodfra perenne"
"22","0812119010","0812119010","0","Prodfra perenne"
"23","0812119020","0812119020","0","Prodfra perenne"
"24","0812119030","0812119030","0","Prodfra perenne"
"25","0812119040","0812119040","0","Prodfra perenne"
"26","0812119050","0812119050","0","Prodfra perenne"
"27","0812119060","0812119060","0","Prodfra perenne"
"28","0812119070","0812119070","0","Prodfra perenne"
"29","0812121010","0812121010","0","Prodfra perenne"
"30","0812121020","0812121020","0","Prodfra perenne"
"31","0812121030","0812121030","0","Prodfra perenne"
"32","0812121040","0812121040","0","Prodfra perenne"
"33","0812121050","0812121050","0","Prodfra perenne"
"34","0812121060","0812121060","0","Prodfra perenne"
"35","0812123010","0812123010","0","Prodfra perenne"
"36","0812123020","0812123020","0","Prodfra perenne"
"37","0812123030","0812123030","0","Prodfra perenne"
"38","0812123040","0812123040","0","Prodfra perenne"
"39","0812123050","0812123050","0","Prodfra perenne"
"40","0812125000","0812125000","0","Prodfra perenne"
"41","0812129010","0812129010","0","Prodfra perenne"
"42","0812129020","0812129020","0","Prodfra perenne"
"43","0812130000","0812130000","0","Prodfra perenne"
"44","0812214000","0812214000","0","Prodfra perenne"
"45","0812216000","0812216000","0","Prodfra perenne"
"46","0812221000","0812221000","0","Prodfra perenne"
"47","0812223000","0812223000","0","Prodfra perenne"
"48","0812225000","0812225000","0","Prodfra perenne"
"49","0891110000","0891110000","0","Prodfra perenne"
"50","0891190000","0891190000","0","Prodfra perenne"
"51","08921000H0","08921000H0","0","Prodfra perenne"
"52","0893100010","0893100010","0","Prodfra perenne"
"53","0893100020","0893100020","0","Prodfra perenne"
"54","0893100030","0893100030","0","Prodfra perenne"
"55","0893100040","0893100040","0","Prodfra perenne"
"56","0893100050","0893100050","0","Prodfra perenne"
"57","0899100000","0899100000","0","Prodfra perenne"
"58","0899220000","0899220000","0","Prodfra perenne"
"59","0899290010","0899290010","0","Prodfra perenne"
"60","0899290020","0899290020","3","Prodfra non perenne"
"61","0899290030","0899290050","3","Prodfra non perenne"
"62","0899290040","0899290060","3","Prodfra non perenne"
"63","09101000H0","09101000H0","0","Prodfra perenne"
"64","09901900H0","09901900H0","0","Prodfra perenne"
"65","1011420000","1011420000","0","Prodfra perenne"
"66","1011506000","1011506000","0","Prodfra perenne"
"67","1011609000","1011609000","0","Prodfra perenne"
"68","1012500000","1012500000","0","Prodfra perenne"
"69","101313000A","101313000A","0","Prodfra perenne"
"70","101316000A","101316000A","0","Prodfra perenne"
"71","1020410000","1020410000","0","Prodfra perenne"
"72","1020420000","1020420000","0","Prodfra perenne"
"73","1032150000","1032150000","0","Prodfra perenne"
"74","1032170000","1032170000","0","Prodfra perenne"
"75","1032191000","1032191000","0","Prodfra perenne"
"76","1032192000","1032192000","0","Prodfra perenne"
"77","1032193000","1032193000","0","Prodfra perenne"
"78","103917800A","103917800A","0","Prodfra perenne"
"79","104111000A","104111000A","0","Prodfra perenne"
"80","104119000A","104119000A","0","Prodfra perenne"
"81","104124100A","104124100A","0","Prodfra perenne"
"82","104129101A","104129101A","0","Prodfra perenne"
"83","104129104A","104129104A","0","Prodfra perenne"
"84","104141700A","104141700A","0","Prodfra perenne"
"85","104151000B","104151000B","0","Prodfra perenne"
"86","104154000B","104154000B","0","Prodfra perenne"
"87","104156000B","104156000B","0","Prodfra perenne"
"88","104159000B","104159000B","0","Prodfra perenne"
"89","104160500B","104160500B","0","Prodfra perenne"
"90","104171000B","104171000B","0","Prodfra perenne"
"91","1042105000","1042105000","0","Prodfra perenne"
"92","105111330A","105111330A","0","Prodfra perenne"
"93","105112400A","105112400A","0","Prodfra perenne"
"94","105121300D","105121300D","0","Prodfra perenne"
"95","105121600D","105121600D","0","Prodfra perenne"
"96","105130300B","105130300B","0","Prodfra perenne"
"97","105140300C","105140300C","0","Prodfra perenne"
"98","105152650A","105152650A","0","Prodfra perenne"
"99","105153000D","105153000D","0","Prodfra perenne"
"100","105154000D","105154000D","0","Prodfra perenne"
"101","105155300D","105155300D","0","Prodfra perenne"
"102","105156000D","105156000D","0","Prodfra perenne"
"103","106121000A","106121000A","0","Prodfra perenne"
"104","106140100A","106140100A","0","Prodfra perenne"
"105","1062115000","1062115000","0","Prodfra perenne"
"106","1062117000","1062117000","0","Prodfra perenne"
"107","1062131000","1062131000","0","Prodfra perenne"
"108","1062139000","1062139000","0","Prodfra perenne"
"109","1062200000","1062200000","0","Prodfra perenne"
"110","1081110000","1081110000","0","Prodfra perenne"
"111","1081123000","1081123000","0","Prodfra perenne"
"112","1081130000","1081130000","0","Prodfra perenne"
"113","1081145000","1081145000","0","Prodfra perenne"
"114","1081200000","1081200000","0","Prodfra perenne"
"115","1082130000","1082130000","0","Prodfra perenne"
"116","1082140000","1082140000","0","Prodfra perenne"
"117","1082223500","1082223500","0","Prodfra perenne"
"118","1082232000","1082232000","0","Prodfra perenne"
"119","1082235500","1082235500","0","Prodfra perenne"
"120","1082236300","1082236300","0","Prodfra perenne"
"121","1082236500","1082236500","0","Prodfra perenne"
"122","1082237500","1082237500","0","Prodfra perenne"
"123","1083124000","1083124000","0","Prodfra perenne"
"124","1083130000","1083130000","0","Prodfra perenne"
"125","1083140000","1083140000","0","Prodfra perenne"
"126","1083150000","1083150000","0","Prodfra perenne"
"127","1084119000","1084119000","0","Prodfra perenne"
"128","1084127000","1084127000","0","Prodfra perenne"
"129","1084300010","1084300010","0","Prodfra perenne"
"130","1084300020","1084300020","0","Prodfra perenne"
"131","1084300030","1084300030","0","Prodfra perenne"
"132","1085130000","1085130000","0","Prodfra perenne"
"133","1085191000","1085191000","0","Prodfra perenne"
"134","1086106010","1086106010","0","Prodfra perenne"
