"","prodfra_n_moins1","prodfra_n","c_evol_prodfra","libel"
"2373","2529113000","2529113000",0,"Prodfra perenne"
"2374","2511235010","2529115000",6,"Faux pôrenne(ôclatement): prodfra N = (prodfra N-1)+(1ouX prodfra N)"
"2375","2529115000","2529115000",6,"Faux pôrenne(ôclatement): prodfra N = (prodfra N-1)+(1ouX prodfra N)"
"2376","2529117000","2529117000",0,"Prodfra perenne"
"2377","2529120000","2529120000",0,"Prodfra perenne"
"2378","2530111010","2530111000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2379","2530111020","2530111000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2380","2530115010","2530115000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2381","2530115020","2530115000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2382","2530117010","2530117000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2383","2530117020","2530117000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2384","2530123000","2530123000",0,"Prodfra perenne"
"2385","2530125000","2530125000",0,"Prodfra perenne"
"2386","2530133000","2530133000",0,"Prodfra perenne"
"2387","2530135000","2530135000",0,"Prodfra perenne"
"2388","2530210000","2530210000",0,"Prodfra perenne"
"2389","2530220000","2530220000",0,"Prodfra perenne"
"2390","25401200H1","25401200H1",0,"Prodfra perenne"
"2391","25401200H2","25401200H2",0,"Prodfra perenne"
"2392","2540123000","2540123000",0,"Prodfra perenne"
"2393","25401230H0","25401230H0",0,"Prodfra perenne"
"2394","2540125000","2540125000",0,"Prodfra perenne"
"2395","2540127000","2540127000",0,"Prodfra perenne"
"2396","2540129000","2540129000",0,"Prodfra perenne"
"2397","2540130010","2540130000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2398","2540130020","2540130000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2399","25401300H1","25401300H1",5,"Faux pôrenne(regroupement): prodfra N = (prodfra N-1)+(1ouX prodfra N-1)"
"2400","25401300H2","25401300H1",5,"Faux pôrenne(regroupement): prodfra N = (prodfra N-1)+(1ouX prodfra N-1)"
"2401","25401300H3","25401300H1",5,"Faux pôrenne(regroupement): prodfra N = (prodfra N-1)+(1ouX prodfra N-1)"
"2402","25401300H4","25401300H2",1,"Un Prodfra N-1 = Un autre Prodfra N"
"2403","25401300H5","25401300H3",1,"Un Prodfra N-1 = Un autre Prodfra N"
"2404","2540140000","2540140000",0,"Prodfra perenne"
"2405","25401450H0","25401450H0",0,"Prodfra perenne"
"2406","25500001YB","25500001YB",0,"Prodfra perenne"
"2407","255011341A","255011340A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2408","255011342A","255011340A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2409","255011370A","255011370A",0,"Prodfra perenne"
"2410","255011510A","255011510A",0,"Prodfra perenne"
"2411","255011521A","255011520A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2412","255011522A","255011520A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2413","255011531A","255011530A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2414","255011532A","255011530A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2415","255011540A","255011540A",0,"Prodfra perenne"
"2416","255011560A","255011560A",0,"Prodfra perenne"
"2417","255011570A","255011570A",0,"Prodfra perenne"
"2418","255011580A","255011580A",0,"Prodfra perenne"
"2419","255012100A","255012100A",0,"Prodfra perenne"
"2420","255012200A","255012200A",0,"Prodfra perenne"
"2421","255012300A","255012300A",0,"Prodfra perenne"
"2422","255012400A","255012400A",0,"Prodfra perenne"
"2423","255012500A","255012500A",0,"Prodfra perenne"
"2424","255012600A","255012600A",0,"Prodfra perenne"
"2425","255012700A","255012700A",0,"Prodfra perenne"
"2426","255012800A","255012800A",0,"Prodfra perenne"
"2427","255012900A","255012900A",0,"Prodfra perenne"
"2428","255013100B","255013100B",0,"Prodfra perenne"
"2429","255013200B","255013200B",0,"Prodfra perenne"
"2430","255013300B","255013300B",0,"Prodfra perenne"
"2431","255013400B","255013400B",0,"Prodfra perenne"
"2432","255013500B","255013500B",0,"Prodfra perenne"
"2433","255013700B","255013700B",0,"Prodfra perenne"
"2434","255020200A","255020200A",0,"Prodfra perenne"
"2435","255020800A","255020800A",0,"Prodfra perenne"
"2436","2561113000","2561113000",0,"Prodfra perenne"
"2437","2561115000","2561115000",0,"Prodfra perenne"
"2438","2561117000","2561117000",0,"Prodfra perenne"
"2439","2561119010","2561119010",5,"Faux pôrenne(regroupement): prodfra N = (prodfra N-1)+(1ouX prodfra N-1)"
"2440","2561119020","2561119010",5,"Faux pôrenne(regroupement): prodfra N = (prodfra N-1)+(1ouX prodfra N-1)"
"2441","2561119030","2561119020",1,"Un Prodfra N-1 = Un autre Prodfra N"
"2442","2561123000","2561123000",0,"Prodfra perenne"
"2443","2561125010","2561125000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2444","2561125020","2561125000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2445","2561210000","2561210000",0,"Prodfra perenne"
"2446","2561223000","2561223000",0,"Prodfra perenne"
"2447","2561225000","2561225000",0,"Prodfra perenne"
"2448","2561227000","2561227000",0,"Prodfra perenne"
"2449","2561229010","2561229010",0,"Prodfra perenne"
"2450","2561229020","2561229020",0,"Prodfra perenne"
"2451","25620001YA","25620001YA",0,"Prodfra perenne"
"2452","25620002YA","25620002YA",0,"Prodfra perenne"
"2453","25620003YA","25620003YA",0,"Prodfra perenne"
"2454","256210010A","256210010A",0,"Prodfra perenne"
"2455","256210030A","256210030A",0,"Prodfra perenne"
"2456","256210050A","256210050A",0,"Prodfra perenne"
