"","prodfra_n","prodfra_n_1","c_evol_prodfra","libel"
"1","06100000H0","06100000H0","0","Prodfra perenne"
"2","06200000H0","06200000H0","0","Prodfra perenne"
"3","0710101000","0710101000","0","Prodfra perenne"
"4","0729130000","0729130000","0","Prodfra perenne"
"5","0729142000","0729142000","0","Prodfra perenne"
"6","0729190500","0729190500","0","Prodfra perenne"
"7","0729191000","0729191000","0","Prodfra perenne"
"8","0729191500","0729191500","0","Prodfra perenne"
"9","0729192000","0729192000","0","Prodfra perenne"
"10","0729192500","0729192500","0","Prodfra perenne"
"11","0729192600","0729192600","0","Prodfra perenne"
"12","0729193000","0729193000","0","Prodfra perenne"
"13","0729193500","0729193500","0","Prodfra perenne"
"14","0729194000","0729194000","0","Prodfra perenne"
"15","0729194500","0729194500","0","Prodfra perenne"
"16","0729199000","0729199000","0","Prodfra perenne"
"17","0811113300","0811113300","0","Prodfra perenne"
"18","0811113600","0811113600","0","Prodfra perenne"
"19","0811115000","0811115000","0","Prodfra perenne"
"20","0811122000","0811122000","0","Prodfra perenne"
"21","0811123300","0811123300","0","Prodfra perenne"
"22","0811123600","0811123600","0","Prodfra perenne"
"23","0811125000","0811125000","0","Prodfra perenne"
"24","0811126000","0811126000","0","Prodfra perenne"
"25","0811203000","0811203000","0","Prodfra perenne"
"26","0811205000","0811205000","0","Prodfra perenne"
"27","0811301010","0811301010","0","Prodfra perenne"
"28","0811301020","0811301020","0","Prodfra perenne"
"29","0811303000","0811303000","0","Prodfra perenne"
"30","0811400000","0811400000","0","Prodfra perenne"
"31","0812115000","0812115000","0","Prodfra perenne"
"32","0812119010","0812119010","0","Prodfra perenne"
"33","0812119020","0812119020","0","Prodfra perenne"
"34","0812119030","0812119030","0","Prodfra perenne"
"35","0812119040","0812119040","0","Prodfra perenne"
"36","0812119050","0812119050","0","Prodfra perenne"
"37","0812119060","0812119060","0","Prodfra perenne"
"38","0812119070","0812119070","0","Prodfra perenne"
"39","0812121010","0812121010","0","Prodfra perenne"
"40","0812121020","0812121020","0","Prodfra perenne"
"41","0812121030","0812121030","0","Prodfra perenne"
"42","0812121040","0812121040","0","Prodfra perenne"
"43","0812121050","0812121050","0","Prodfra perenne"
"44","0812121060","0812121060","0","Prodfra perenne"
"45","0812123500","0812123500","0","Prodfra perenne"
"46","0812124010","0812124010","0","Prodfra perenne"
"47","0812124020","0812124020","0","Prodfra perenne"
"48","0812124030","0812124030","0","Prodfra perenne"
"49","0812124040","0812124040","0","Prodfra perenne"
"50","0812125000","0812125000","0","Prodfra perenne"
"51","0812129010","0812129010","0","Prodfra perenne"
"52","0812129020","0812129020","0","Prodfra perenne"
"53","0812130000","0812130000","0","Prodfra perenne"
"54","0812214000","0812214000","0","Prodfra perenne"
"55","0812216000","0812216000","0","Prodfra perenne"
"56","0812221000","0812221000","0","Prodfra perenne"
"57","0812223000","0812223000","0","Prodfra perenne"
"58","0812225500","0812225500","0","Prodfra perenne"
"59","0812226000","0812226000","0","Prodfra perenne"
"60","0812227000","0812227000","0","Prodfra perenne"
"61","0812228000","0812228000","0","Prodfra perenne"
"62","0891110000","0891110000","0","Prodfra perenne"
"63","0891190000","0891190000","0","Prodfra perenne"
"64","08921000H0","08921000H0","0","Prodfra perenne"
"65","0893100010","0893100010","0","Prodfra perenne"
"66","0893100020","0893100020","0","Prodfra perenne"
"67","0893100030","0893100030","0","Prodfra perenne"
"68","0893100040","0893100040","0","Prodfra perenne"
"69","0893100050","0893100050","0","Prodfra perenne"
"70","0899100000","0899100000","0","Prodfra perenne"
"71","0899212000","0899212000","0","Prodfra perenne"
"72","0899223000","0899223000","0","Prodfra perenne"
"73","0899290010","0899290010","0","Prodfra perenne"
"74","0899290020","0899290020","0","Prodfra perenne"
"75","0899290030","0899290030","0","Prodfra perenne"
"76","0899290040","0899290040","0","Prodfra perenne"
"77","09101000H0","09101000H0","0","Prodfra perenne"
"78","09901900H0","09901900H0","0","Prodfra perenne"
"79","1011114000","1011114000","0","Prodfra perenne"
"80","1011420000","1011420000","0","Prodfra perenne"
"81","1011506000","1011506000","0","Prodfra perenne"
"82","1011507000","1011507000","0","Prodfra perenne"
"83","1011609000","1011609000","0","Prodfra perenne"
"84","1012500000","1012500000","0","Prodfra perenne"
"85","101313000A","101313000A","0","Prodfra perenne"
"86","101316000A","101316000A","0","Prodfra perenne"
"87","1020420000","1020420000","0","Prodfra perenne"
"88","1031113000","1031113000","0","Prodfra perenne"
"89","1032123000","1032123000","0","Prodfra perenne"
"90","1032140000","1032140000","0","Prodfra perenne"
"91","1032150000","1032150000","0","Prodfra perenne"
"92","1032192000","1032192000","0","Prodfra perenne"
"93","1032193000","1032193000","0","Prodfra perenne"
"94","103917250A","103917250A","0","Prodfra perenne"
"95","103929500B","103929500B","0","Prodfra perenne"
"96","103930000B","103930000B","0","Prodfra perenne"
"97","104119000A","104119000A","0","Prodfra perenne"
"98","104124100A","104124100A","0","Prodfra perenne"
"99","104129101A","104129101A","0","Prodfra perenne"
"100","104129104A","104129104A","0","Prodfra perenne"
"101","104141700A","104141700A","0","Prodfra perenne"
"102","104154000B","104154000B","0","Prodfra perenne"
"103","104156000B","104156000B","0","Prodfra perenne"
"104","104159000B","104159000B","0","Prodfra perenne"
"105","104160500B","104160500B","0","Prodfra perenne"
"106","104171000B","104171000B","0","Prodfra perenne"
"107","1042105000","1042105000","0","Prodfra perenne"
"108","105111330A","105111330A","0","Prodfra perenne"
"109","105121300D","105121300D","0","Prodfra perenne"
"110","105121600D","105121600D","0","Prodfra perenne"
"111","105130300B","105130300B","0","Prodfra perenne"
"112","105140300C","105140300C","0","Prodfra perenne"
"113","105152650A","105152650A","0","Prodfra perenne"
"114","105153000D","105153000D","0","Prodfra perenne"
"115","105154000D","105154000D","0","Prodfra perenne"
"116","105155300D","105155300D","0","Prodfra perenne"
"117","105156000D","105156000D","0","Prodfra perenne"
"118","106121000A","106121000A","0","Prodfra perenne"
"119","106122000A","106122000A","0","Prodfra perenne"
"120","106133350B","106133350B","0","Prodfra perenne"
"121","106140100A","106140100A","0","Prodfra perenne"
"122","1062111100","1062111100","0","Prodfra perenne"
"123","1062111300","1062111300","0","Prodfra perenne"
"124","1062111500","1062111500","0","Prodfra perenne"
"125","1062111900","1062111900","0","Prodfra perenne"
"126","1062113000","1062113000","0","Prodfra perenne"
"127","1062115000","1062115000","0","Prodfra perenne"
"128","1062117000","1062117000","0","Prodfra perenne"
"129","1062131000","1062131000","0","Prodfra perenne"
"130","1062132000","1062132000","0","Prodfra perenne"
"131","1062133000","1062133000","0","Prodfra perenne"
"132","1062139000","1062139000","0","Prodfra perenne"
"133","1062143000","1062143000","0","Prodfra perenne"
"134","1062200000","1062200000","0","Prodfra perenne"
"135","1081123000","1081123000","0","Prodfra perenne"
